Category,Skill,Description,Source,Link
Content Media & Marketing,video-editing,AI-assisted video editing: FFmpeg/Remotion/ElevenLabs/fal.ai,ECC,https://github.com/affaan-m/everything-claude-code/tree/main/skills/video-editing
Content Media & Marketing,manim-video,Manim explainer animations для технічних концепцій та product walkthroughs,ECC,https://github.com/affaan-m/everything-claude-code/tree/main/skills/manim-video
Content Media & Marketing,remotion-video-creation,Remotion best practices — video creation in React: animations/audio,ECC,https://github.com/affaan-m/everything-claude-code/tree/main/skills/remotion-video-creation
Content Media & Marketing,fal-ai-media,Генерація медіа через fal.ai: зображення/відео/аудіо,ECC,https://github.com/affaan-m/everything-claude-code/tree/main/skills/fal-ai-media
Content Media & Marketing,videodb,Ingest/understand/act on video-audio: indexes/search/transcode,ECC,https://github.com/affaan-m/everything-claude-code/tree/main/skills/videodb
Content Media & Marketing,press-release,Amazon-style press release що визначає customer value перед розробкою,Global,local
Content Media & Marketing,storyboard,Шестикадровий storyboard для user journey від проблеми до рішення,Global,local
Content Media & Marketing,email-ops,Triage поштової скриньки/написання та відправка листів,ECC,https://github.com/affaan-m/everything-claude-code/tree/main/skills/email-ops
Content Media & Marketing,connections-optimizer,Реорганізує X та LinkedIn network: pruning/warm outreach,ECC,https://github.com/affaan-m/everything-claude-code/tree/main/skills/connections-optimizer
Business & Finance,market-research,Market research/competitive analysis/investor due diligence,ECC,https://github.com/affaan-m/everything-claude-code/tree/main/skills/market-research
Business & Finance,company-research,Company research brief з executive quotes та product strategy,Global,local
Business & Finance,deep-research,Multi-source дослідження через firecrawl та exa MCPs з цитатами,ECC,https://github.com/affaan-m/everything-claude-code/tree/main/skills/deep-research
Business & Finance,exa-search,Neural search через Exa MCP: web/code/company research,ECC,https://github.com/affaan-m/everything-claude-code/tree/main/skills/exa-search
Business & Finance,research-ops,Evidence-first research workflow для fresh facts та recommendations,ECC,https://github.com/affaan-m/everything-claude-code/tree/main/skills/research-ops
Business & Finance,investor-materials,Pitch decks/one-pagers/investor memos/financial models,ECC,https://github.com/affaan-m/everything-claude-code/tree/main/skills/investor-materials
Business & Finance,investor-outreach,Cold emails/warm intro blurbs/follow-ups для angels та VCs,ECC,https://github.com/affaan-m/everything-claude-code/tree/main/skills/investor-outreach
Business & Finance,lead-intelligence,AI-native lead intelligence: signal scoring/warm path discovery,ECC,https://github.com/affaan-m/everything-claude-code/tree/main/skills/lead-intelligence
Business & Finance,SCAIT-LEAD-GEN-CLIENT-ASCENSION,Dream 100 workflow: ICP → prospect research → cold outreach,Global,local
Business & Finance,acquisition-channel-advisor,Оцінює acquisition channels за CAC/LTV/payback/retention,Global,local
Business & Finance,business-health-diagnostic,Діагностує SaaS бізнес: growth/retention/unit economics/capital,Global,local
Business & Finance,tam-sam-som-calculator,Розраховує TAM/SAM/SOM з явними assumptions та методологією,Global,local
Business & Finance,saas-revenue-growth-metrics,SaaS revenue/retention та growth метрики — churn/expansion/PMF,Global,local
Business & Finance,saas-economics-efficiency-metrics,SaaS unit economics та capital efficiency — чи може бізнес масштабуватись,Global,local
Business & Finance,finance-metrics-quickref,Швидкий довідник SaaS фінансових метрик/формул та benchmarks,Global,local
Business & Finance,finance-based-pricing-advisor,Оцінює цінові зміни за ARPU/conversion/churn risk/NRR,Global,local
Business & Finance,pestel-analysis,Аналіз Political/Economic/Social/Tech/Environmental/Legal сил,Global,local
Business & Finance,pol-probe,Визначає Proof of Life probe для тестування гіпотез до розробки,Global,local
Business & Finance,pol-probe-advisor,Підбирає правильний PoL probe під hypothesis та наявні ресурси,Global,local
Business & Finance,council,Скликає четири-голосну раду для go/no-go рішень та tradeoffs,ECC,https://github.com/affaan-m/everything-claude-code/tree/main/skills/council
Product & UX,product-lens,Валідує why перед розробкою/product diagnostics,ECC,https://github.com/affaan-m/everything-claude-code/tree/main/skills/product-lens
Product & UX,product-capability,PRD intent → implementation-ready capability plan,ECC,https://github.com/affaan-m/everything-claude-code/tree/main/skills/product-capability
Product & UX,prd-development,Будує структурований PRD: problem/users/solution/success criteria,Global,local
Product & UX,roadmap-planning,Стратегічний roadmap: prioritization/epic definition/sequencing,Global,local
Product & UX,product-strategy-session,End-to-end product strategy session: positioning/discovery/roadmap,Global,local
Product & UX,product-sense-interview-answer,Структурує PM product-sense відповіді для інтерв'ю,Global,local
Product & UX,prioritization-advisor,Підбирає framework пріоритизації (RICE/ICE/value-effort),Global,local
Product & UX,epic-hypothesis,Оформлює epic як testable hypothesis з outcome та validation,Global,local
Product & UX,epic-breakdown-advisor,Розбиває epics на user stories з Humanizing Work split patterns,Global,local
Product & UX,user-story,User stories у форматі Mike Cohn з Gherkin acceptance criteria,Global,local
Product & UX,user-story-mapping,User story map: activities/steps/tasks/release slices,Global,local
Product & UX,user-story-mapping-workshop,Workshop з user story mapping: backbone/tasks/release slices,Global,local
Product & UX,user-story-splitting,Розбиває великі stories/epics на менші deliverable stories,Global,local
Product & UX,jobs-to-be-done,Виявляє customer jobs/pains та gains у JTBD форматі,Global,local
Product & UX,proto-persona,Створює proto-persona з поточних досліджень та market signals,Global,local
Product & UX,positioning-statement,Geoffrey Moore-style positioning statement,Global,local
Product & UX,positioning-workshop,Positioning workshop: target customer/unmet need/differentiation,Global,local
Product & UX,customer-journey-map,Customer journey map: stages/touchpoints/emotions/metrics,Global,local
Product & UX,customer-journey-mapping-workshop,Workshop для mapping stages/actions/emotions/pain points,Global,local
Product & UX,lean-ux-canvas,Lean UX Canvas v2: business problem/assumptions/what to learn,Global,local
Product & UX,opportunity-solution-tree,OST від outcomes до opportunities/solutions та tests,Global,local
Product & UX,problem-framing-canvas,MITRE Problem Framing Canvas для чіткого формулювання проблеми,Global,local
Product & UX,problem-statement,User-centered problem statement: хто заблокований/що намагається/чому важливо,Global,local
Product & UX,recommendation-canvas,Оцінює AI product ідею: outcomes/hypotheses/risks/positioning,Global,local
Product & UX,discovery-interview-prep,Планує customer discovery інтерв'ю: goal/segment/метод,Global,local
Product & UX,discovery-process,Повний discovery cycle: problem hypothesis → validated solution,Global,local
Product & UX,workshop-facilitation,Facilitation workshop sessions з consistent pacing та progress,Global,local
Product & UX,altitude-horizon-framework,Розуміння PM-to-Director переходу через altitude і horizon thinking,Global,local
Product & UX,director-readiness-advisor,Coaching по PM-to-Director переходу: preparing/interviewing/landing,Global,local
Product & UX,vp-cpo-readiness-advisor,Coaching по переходу до VP або CPO,Global,local
Product & UX,ai-shaped-readiness-advisor,Оцінює чи продукт AI-first або AI-shaped; AI maturity assessment,Global,local
Product & UX,executive-onboarding-playbook,30-60-90 day onboarding план для VP або CPO,Global,local
Supply Chain & Operations,inventory-demand-planning,Demand forecasting/safety stock/replenishment/ABC-XYZ analysis,ECC,https://github.com/affaan-m/everything-claude-code/tree/main/skills/inventory-demand-planning
Supply Chain & Operations,customs-trade-compliance,Митна документація/HS classification/duty optimization/FTA,ECC,https://github.com/affaan-m/everything-claude-code/tree/main/skills/customs-trade-compliance
Supply Chain & Operations,logistics-exception-management,Freight exceptions: затримки/пошкодження/втрати/carrier disputes,ECC,https://github.com/affaan-m/everything-claude-code/tree/main/skills/logistics-exception-management
Supply Chain & Operations,carrier-relationship-management,Управління портфелем carriers/переговори/scorecard/RFP,ECC,https://github.com/affaan-m/everything-claude-code/tree/main/skills/carrier-relationship-management
Supply Chain & Operations,returns-reverse-logistics,Returns authorization/inspection/disposition/fraud detection,ECC,https://github.com/affaan-m/everything-claude-code/tree/main/skills/returns-reverse-logistics
Supply Chain & Operations,energy-procurement,Закупівля електроенергії та газу/тарифна оптимізація/PPA,ECC,https://github.com/affaan-m/everything-claude-code/tree/main/skills/energy-procurement
Supply Chain & Operations,quality-nonconformance,QC/non-conformance investigation/root cause/CAPA systems,ECC,https://github.com/affaan-m/everything-claude-code/tree/main/skills/quality-nonconformance
Supply Chain & Operations,production-scheduling,Production scheduling/job sequencing/TOC/SMED/OEE analysis,ECC,https://github.com/affaan-m/everything-claude-code/tree/main/skills/production-scheduling
Supply Chain & Operations,healthcare-cdss-patterns,Clinical Decision Support: drug interaction/dose validation/scoring,ECC,https://github.com/affaan-m/everything-claude-code/tree/main/skills/healthcare-cdss-patterns
Supply Chain & Operations,healthcare-emr-patterns,EMR/EHR паттерни: clinical safety/encounter workflows/prescription,ECC,https://github.com/affaan-m/everything-claude-code/tree/main/skills/healthcare-emr-patterns
DevOps & Productivity,deployment-patterns,Deployment workflows/CI-CD/Docker/health checks/rollback,ECC,https://github.com/affaan-m/everything-claude-code/tree/main/skills/deployment-patterns
DevOps & Productivity,docker-patterns,Docker та Docker Compose для local dev/security/networking,ECC,https://github.com/affaan-m/everything-claude-code/tree/main/skills/docker-patterns
DevOps & Productivity,git-workflow,Git workflow: branching/commit conventions/merge vs rebase,ECC,https://github.com/affaan-m/everything-claude-code/tree/main/skills/git-workflow
DevOps & Productivity,github-ops,GitHub: issue triage/PR management/CI-CD/release management,ECC,https://github.com/affaan-m/everything-claude-code/tree/main/skills/github-ops
DevOps & Productivity,project-flow-ops,GitHub та Linear: triage issues/PRs/linking active work,ECC,https://github.com/affaan-m/everything-claude-code/tree/main/skills/project-flow-ops
DevOps & Productivity,dashboard-builder,Monitoring dashboards для Grafana/SigNoz,ECC,https://github.com/affaan-m/everything-claude-code/tree/main/skills/dashboard-builder
DevOps & Productivity,canary-watch,Моніторить deployed URL на регресії після deploys та updates,ECC,https://github.com/affaan-m/everything-claude-code/tree/main/skills/canary-watch
DevOps & Productivity,terminal-ops,Evidence-first repo execution: запуск команд/debug CI/narrow fixes,ECC,https://github.com/affaan-m/everything-claude-code/tree/main/skills/terminal-ops
DevOps & Productivity,automation-audit-ops,Інвентаризація автоматизацій: jobs/hooks/connectors/MCP servers,ECC,https://github.com/affaan-m/everything-claude-code/tree/main/skills/automation-audit-ops
DevOps & Productivity,workspace-surface-audit,Аудитує repo/MCP servers/plugins та рекомендує ECC-native skills,ECC,https://github.com/affaan-m/everything-claude-code/tree/main/skills/workspace-surface-audit
DevOps & Productivity,configure-ecc,Інтерактивний інсталятор Everything Claude Code,ECC,https://github.com/affaan-m/everything-claude-code/tree/main/skills/configure-ecc
DevOps & Productivity,ecc-tools-cost-audit,Аудит burn & billing для ECC Tools: PR creation/quota bypass,ECC,https://github.com/affaan-m/everything-claude-code/tree/main/skills/ecc-tools-cost-audit
DevOps & Productivity,knowledge-ops,Knowledge base management: ingestion/sync/retrieval,ECC,https://github.com/affaan-m/everything-claude-code/tree/main/skills/knowledge-ops
DevOps & Productivity,unified-notifications-ops,Notifications як єдиний workflow: GitHub/Linear/desktop alerts,ECC,https://github.com/affaan-m/everything-claude-code/tree/main/skills/unified-notifications-ops
DevOps & Productivity,google-workspace-ops,Google Drive/Docs/Sheets/Slides як одна workflow поверхня,ECC,https://github.com/affaan-m/everything-claude-code/tree/main/skills/google-workspace-ops
DevOps & Productivity,jira-integration,Jira: tickets/status update/коментарі/transitions,ECC,https://github.com/affaan-m/everything-claude-code/tree/main/skills/jira-integration
DevOps & Productivity,messages-ops,Live messaging: читання SMS/DMs/one-time codes/threads,ECC,https://github.com/affaan-m/everything-claude-code/tree/main/skills/messages-ops
DevOps & Productivity,nutrient-document-processing,Обробка/OCR/редакція документів через Nutrient DWS API,ECC,https://github.com/affaan-m/everything-claude-code/tree/main/skills/nutrient-document-processing
DevOps & Productivity,visa-doc-translate,Переклад візових документів та bilingual PDF,ECC,https://github.com/affaan-m/everything-claude-code/tree/main/skills/visa-doc-translate
DevOps & Productivity,data-scraper-agent,Автоматизований AI data collection агент + Notion/Sheets storage,ECC,https://github.com/affaan-m/everything-claude-code/tree/main/skills/data-scraper-agent
DevOps & Productivity,repo-scan,Cross-stack source code asset audit з HTML reports,ECC,https://github.com/affaan-m/everything-claude-code/tree/main/skills/repo-scan
DevOps & Productivity,social-graph-ranker,Weighted social-graph ranking для warm intro discovery,ECC,https://github.com/affaan-m/everything-claude-code/tree/main/skills/social-graph-ranker
DevOps & Productivity,customer-billing-ops,Customer billing: subscriptions/refunds/churn triage через Stripe,ECC,https://github.com/affaan-m/everything-claude-code/tree/main/skills/customer-billing-ops
DevOps & Productivity,finance-billing-ops,Revenue/pricing/refunds/team-billing audit для ECC,ECC,https://github.com/affaan-m/everything-claude-code/tree/main/skills/finance-billing-ops
DevOps & Productivity,code-tour,CodeTour .tour файли — покрокові walkthrough з file та line anchors,ECC,https://github.com/affaan-m/everything-claude-code/tree/main/skills/code-tour
DevOps & Productivity,codebase-onboarding,Аналізує незнайомий codebase/генерує onboarding guide та CLAUDE.md,ECC,https://github.com/affaan-m/everything-claude-code/tree/main/skills/codebase-onboarding
DevOps & Productivity,nanoclaw-repl,NanoClaw v2 — session-aware REPL на базі claude -p,ECC,https://github.com/affaan-m/everything-claude-code/tree/main/skills/nanoclaw-repl
DevOps & Productivity,ck,Persistent per-project memory; auto-loads project context при старті,ECC,https://github.com/affaan-m/everything-claude-code/tree/main/skills/ck
DevOps & Productivity,plankton-code-quality,Write-time code quality через Plankton — auto-formatting/linting,ECC,https://github.com/affaan-m/everything-claude-code/tree/main/skills/plankton-code-quality
DevOps & Productivity,hookify-rules,Створення та конфігурація hookify rules,ECC,https://github.com/affaan-m/everything-claude-code/tree/main/skills/hookify-rules
DevOps & Productivity,everything-claude-code-conventions,Конвенції розробки для everything-claude-code,ECC,https://github.com/affaan-m/everything-claude-code/tree/main/skills/everything-claude-code-conventions
DevOps & Productivity,architecture-decision-records,ADR файли — фіксує архітектурні рішення під час сесій,ECC,https://github.com/affaan-m/everything-claude-code/tree/main/skills/architecture-decision-records
DevOps & Productivity,skill-comply,Перевіряє чи дотримуються skills/rules/agents насправді,ECC,https://github.com/affaan-m/everything-claude-code/tree/main/skills/skill-comply
DevOps & Productivity,ralphinho-rfc-pipeline,RFC-driven multi-agent DAG execution з quality gates,ECC,https://github.com/affaan-m/everything-claude-code/tree/main/skills/ralphinho-rfc-pipeline
DevOps & Productivity,openclaw-persona-forge,Створення lobster soul для OpenClaw AI Agent,ECC,https://github.com/affaan-m/everything-claude-code/tree/main/skills/openclaw-persona-forge
DevOps & Productivity,opensource-pipeline,Fork/sanitize/package private projects для public release,ECC,https://github.com/affaan-m/everything-claude-code/tree/main/skills/opensource-pipeline
DevOps & Productivity,documentation-lookup,Актуальна документація бібліотек через Context7 MCP,ECC,https://github.com/affaan-m/everything-claude-code/tree/main/skills/documentation-lookup
